question,ground_truth,contexts,evolution_type
Dữ liệu cá nhân cơ bản bao gồm những thông tin nào theo Nghị định 13/2023/NĐ-CP?,"Dữ liệu cá nhân cơ bản bao gồm họ tên, ngày sinh, giới tính, nơi sinh, ảnh cá nhân.","['Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân của Việt Nam quy định: dữ liệu cá nhân cơ bản bao gồm họ tên, ngày sinh, giới tính, nơi sinh, ảnh cá nhân. Dữ liệu cá nhân nhạy cảm bao gồm hồ sơ y tế, dữ liệu sinh trắc học, thông tin tài chính. Tổ chức phải có sự đồng ý của chủ thể trước khi thu thập. Vi phạm sẽ bị xử phạt hành chính.']",simple
What are the three types of input guardrails mentioned for LLM systems?,"PII redaction, topic scope validation, and injection detection.","['Guardrails for LLM systems work at two levels. Input guardrails: PII redaction removes personal information before the LLM sees it; topic scope validation rejects off-domain queries; injection detection blocks prompt injection attacks. Output guardrails: Llama Guard 3 classifies responses by safety category (violence, hate speech, self-harm, illegal activities). A full stack runs input guards in parallel (L1), then LLM generation (L2), then output safety check (L3), with async audit logging (L4).']",simple
"If a RAG pipeline evaluates with a faithfulness score of 0.90, an answer relevancy score of 0.78, a context precision score of 0.72, and a context recall score of 0.80, which target thresholds has it met, and what improvements are necessary for it to be fully compliant with production standards?","The pipeline has met the target thresholds for faithfulness (≥ 0.85) and context recall (≥ 0.75). However, it has not met the target for answer relevancy (≥ 0.80) and context precision (≥ 0.70). To be fully compliant, it needs to improve the answer relevancy score to at least 0.80.","['RAGAS is an open-source framework for evaluating RAG pipelines. It computes four core metrics automatically using an LLM judge: faithfulness (0-1), answer relevancy (0-1), context precision (0-1), context recall (0-1). Target thresholds for production: faithfulness ≥ 0.85, answer relevancy ≥ 0.80, context precision ≥ 0.70, context recall ≥ 0.75. RAGAS also supports synthetic test set generation from document corpora.']",reasoning
Mật khẩu phải có ít nhất bao nhiêu ký tự và bao gồm những yếu tố nào?,"Mật khẩu phải có ít nhất 12 ký tự, bao gồm chữ hoa, chữ thường, số và ký tự đặc biệt.","['# Chính Sách Bảo Mật Thông Tin\n\n## Mật Khẩu\n\nMật khẩu phải được thay đổi mỗi 90 ngày. Mật khẩu phải có ít nhất 12 ký tự, bao gồm chữ hoa, chữ thường, số và ký tự đặc biệt. Không được sử dụng lại 5 mật khẩu gần nhất.\n\nNhân viên không được chia sẻ mật khẩu với bất kỳ ai, kể cả với nhân viên IT. Khi phát hiện mật khẩu bị lộ, phải thay đổi ngay lập tức và báo cáo cho bộ phận An toàn thông tin.\n\n## Sử Dụng Thiết Bị\n\nThiết bị công ty chỉ được sử dụng cho mục đích công việc. Không được cài đặt phần mềm không được phê duyệt trên thiết bị công ty. Tất cả thiết bị phải có mã khóa màn hình và tự động khóa sau 5 phút không hoạt động.\n\nKhi rời khỏi văn phòng, nhân viên phải khóa máy tính. Thiết bị công ty không được mang ra khỏi văn phòng khi chưa có sự cho phép của quản lý.\n\n## VPN và Truy Cập Từ Xa']",simple
Lao động nữ được nghỉ thai sản trong bao lâu?,Lao động nữ được nghỉ thai sản trước và sau khi sinh là 06 tháng.,"['rong thời gian nghỉ không lương tối đa 30 ngày/năm.\n\n## Nghỉ Ốm\n\nNhân viên được nghỉ ốm có hưởng lương theo quy định của Bộ luật Lao động. Cần nộp giấy xác nhận y tế từ cơ sở y tế có thẩm quyền trong vòng 3 ngày làm việc kể từ ngày đi làm trở lại.\n\nSố ngày nghỉ ốm hưởng lương không giới hạn, nhưng từ ngày thứ 4 trở đi cần có giấy phép của bác sĩ. Nhân viên nghỉ ốm quá 14 ngày liên tiếp phải thông báo cho phòng Nhân sự.\n\n## Nghỉ Thai Sản\n\nLao động nữ được nghỉ thai sản trước và sau khi sinh là 06 tháng. Trong trường hợp sinh đôi trở lên, cứ mỗi con tăng thêm 01 tháng. Lao động nam được nghỉ thai sản 05 ngày làm việc khi vợ sinh thường, 07 ngày nếu vợ sinh mổ.']",simple
What is the maximum training cost support per employee per year provided by the company?,Công ty hỗ trợ chi phí đào tạo chuyên môn tối đa 5 triệu đồng/năm/nhân viên.,['à Phát Triển\n\nCông ty hỗ trợ chi phí đào tạo chuyên môn tối đa 5 triệu đồng/năm/nhân viên. Nhân viên phải cam kết làm việc ít nhất 1 năm sau khi được hỗ trợ đào tạo có giá trị trên 10 triệu đồng.\n\nChương trình mentoring nội bộ được tổ chức định kỳ hàng quý để hỗ trợ nhân viên phát triển kỹ năng. Tất cả nhân viên có quyền đề xuất tham gia các khóa học bên ngoài phù hợp với công việc.\n\n## Phúc Lợi\n\nNhân viên được hưởng bảo hiểm y tế theo quy định pháp luật cộng với bảo hiểm sức khỏe bổ sung của công ty. Phụ cấp ăn trưa 50.000 đồng/ngày làm việc được tính vào lương hàng tháng.\n\nCông ty tổ chức du lịch team building 1 lần/năm. Nhân viên có thâm niên trên 3 năm được nhận thêm 1 ngày nghỉ phép năm và phụ cấp thâm niên 500.000 đồng/tháng.'],simple
"What are the target thresholds for faithfulness, answer relevancy, context precision, and context recall in RAGAS?","faithfulness ≥ 0.85, answer relevancy ≥ 0.80, context precision ≥ 0.70, context recall ≥ 0.75.","['RAGAS is an open-source framework for evaluating RAG pipelines. It computes four core metrics automatically using an LLM judge: faithfulness (0-1), answer relevancy (0-1), context precision (0-1), context recall (0-1). Target thresholds for production: faithfulness ≥ 0.85, answer relevancy ≥ 0.80, context precision ≥ 0.70, context recall ≥ 0.75. RAGAS also supports synthetic test set generation from document corpora.']",simple
"If an employee has worked for 12 years and wants to take a vacation, how many total paid leave days do they have, and what is the minimum notice period required for their leave request?","The employee has worked for 12 years, which gives them 12 + (2 additional days for every 5 years) = 12 + 4 = 16 days of paid leave. The minimum notice period required for their leave request is 3 working days.","['# Chính Sách Nghỉ Phép\n\n## Nghỉ Phép Năm\n\nNhân viên chính thức được nghỉ phép năm 12 ngày làm việc mỗi năm. Số ngày nghỉ phép tăng thêm 1 ngày cho mỗi 5 năm thâm niên công tác. Nhân viên mới vào làm giữa năm sẽ được tính nghỉ phép theo tỷ lệ thời gian làm việc thực tế trong năm đó.\n\nĐơn xin nghỉ phép phải được nộp trước ít nhất 3 ngày làm việc và cần được phê duyệt bởi quản lý trực tiếp. Trường hợp khẩn cấp có thể nộp đơn muộn hơn nhưng phải có lý do chính đáng.\n\n## Nghỉ Phép Không Lương\n\nNhân viên có thể xin nghỉ phép không lương tối đa 30 ngày mỗi năm. Đơn xin nghỉ phải được Giám đốc bộ phận phê duyệt và thông báo cho phòng Nhân sự ít nhất 2 tuần trước ngày nghỉ.\n\nTrong thời gian nghỉ không lương, nhân viên không được hưởng lương và phụ cấp. Thâm niên công tác vẫn được tính bình thường t']",reasoning
"Khi nhân viên làm việc từ xa, công ty cần lưu ý điều gì liên quan đến bảo vệ dữ liệu cá nhân và các biện pháp bảo mật nào được áp dụng?","Nhân viên phải sử dụng VPN dùng WireGuard AES-256 để bảo vệ dữ liệu cá nhân khi làm việc từ xa và không được truy cập dữ liệu qua mạng WiFi công cộng không bảo mật. Đồng thời, dữ liệu cá nhân của khách hàng và nhân viên phải được mã hóa khi lưu trữ để đảm bảo tuân thủ quy định về bảo vệ dữ liệu cá nhân.","['Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân của Việt Nam quy định: dữ liệu cá nhân cơ bản bao gồm họ tên, ngày sinh, giới tính, nơi sinh, ảnh cá nhân. Dữ liệu cá nhân nhạy cảm bao gồm hồ sơ y tế, dữ liệu sinh trắc học, thông tin tài chính. Tổ chức phải có sự đồng ý của chủ thể trước khi thu thập. Vi phạm sẽ bị xử phạt hành chính.', 'Khi làm việc từ xa, nhân viên phải sử dụng VPN dùng WireGuard AES-256 của công ty. Không được truy cập dữ liệu công ty qua mạng WiFi công cộng không được bảo mật khi không có VPN.\n\nMọi kết nối từ xa đều được ghi log và theo dõi bởi bộ phận IT. Truy cập vào hệ thống nhạy cảm từ xa cần xác thực đa yếu tố (MFA).\n\n## Xử Lý Dữ Liệu\n\nDữ liệu cá nhân của khách hàng và nhân viên phải được mã hóa khi lưu trữ và truyền tải. Không được sao chép dữ liệu nhạy cảm ra thiết bị lưu trữ ngoài khi chưa được phê duyệt.\n\nKhi hợp đồng kết thúc, nhân viên phải trả lại tất cả thiết bị và tài liệu công ty trong vòng 24 giờ.']",multi_context
What measures are taken to protect sensitive information in LLM systems and remote work environments?,"In LLM systems, input guardrails like PII redaction ensure personal information is removed before processing, while output guardrails classify responses to prevent harmful content. In remote work environments, data protection is enforced through the use of a VPN with AES-256 encryption, and all remote connections are logged and monitored, requiring multi-factor authentication for access to sensitive systems.","['Guardrails for LLM systems work at two levels. Input guardrails: PII redaction removes personal information before the LLM sees it; topic scope validation rejects off-domain queries; injection detection blocks prompt injection attacks. Output guardrails: Llama Guard 3 classifies responses by safety category (violence, hate speech, self-harm, illegal activities). A full stack runs input guards in parallel (L1), then LLM generation (L2), then output safety check (L3), with async audit logging (L4).', 'Khi làm việc từ xa, nhân viên phải sử dụng VPN dùng WireGuard AES-256 của công ty. Không được truy cập dữ liệu công ty qua mạng WiFi công cộng không được bảo mật khi không có VPN.\n\nMọi kết nối từ xa đều được ghi log và theo dõi bởi bộ phận IT. Truy cập vào hệ thống nhạy cảm từ xa cần xác thực đa yếu tố (MFA).\n\n## Xử Lý Dữ Liệu\n\nDữ liệu cá nhân của khách hàng và nhân viên phải được mã hóa khi lưu trữ và truyền tải. Không được sao chép dữ liệu nhạy cảm ra thiết bị lưu trữ ngoài khi chưa được phê duyệt.\n\nKhi hợp đồng kết thúc, nhân viên phải trả lại tất cả thiết bị và tài liệu công ty trong vòng 24 giờ.']",multi_context
How does the company's professional training support align with the latency management goals in programming projects?,"The company provides up to 5 million VND per year for employee training, which can help enhance skills that may contribute to more efficient latency management in multi-layer guardrail stacks, potentially improving the performance metrics outlined in Text 1.","['Latency in multi-layer guardrail stacks must be carefully managed. L1 input guards run in parallel using asyncio.gather() to avoid sequential overhead. Target budgets: L1 (PII + topic) P95 < 50ms, L2 (RAG generation) P95 < 2000ms, L3 (Llama Guard via Groq API) P95 < 100ms. L4 audit logging is fire-and-forget and does not count toward latency budget. Total end-to-end P95 target: < 2.5 seconds.', 'à Phát Triển\n\nCông ty hỗ trợ chi phí đào tạo chuyên môn tối đa 5 triệu đồng/năm/nhân viên. Nhân viên phải cam kết làm việc ít nhất 1 năm sau khi được hỗ trợ đào tạo có giá trị trên 10 triệu đồng.\n\nChương trình mentoring nội bộ được tổ chức định kỳ hàng quý để hỗ trợ nhân viên phát triển kỹ năng. Tất cả nhân viên có quyền đề xuất tham gia các khóa học bên ngoài phù hợp với công việc.\n\n## Phúc Lợi\n\nNhân viên được hưởng bảo hiểm y tế theo quy định pháp luật cộng với bảo hiểm sức khỏe bổ sung của công ty. Phụ cấp ăn trưa 50.000 đồng/ngày làm việc được tính vào lương hàng tháng.\n\nCông ty tổ chức du lịch team building 1 lần/năm. Nhân viên có thâm niên trên 3 năm được nhận thêm 1 ngày nghỉ phép năm và phụ cấp thâm niên 500.000 đồng/tháng.']",multi_context
What could be the potential consequences for an employee who fails to change their password within the required 90 days and does not report a password leak?,"The employee may face security risks due to unauthorized access to their account, which could lead to data breaches. Additionally, failure to adhere to the password policy could result in disciplinary action from the company for not following security protocols.","['# Chính Sách Bảo Mật Thông Tin\n\n## Mật Khẩu\n\nMật khẩu phải được thay đổi mỗi 90 ngày. Mật khẩu phải có ít nhất 12 ký tự, bao gồm chữ hoa, chữ thường, số và ký tự đặc biệt. Không được sử dụng lại 5 mật khẩu gần nhất.\n\nNhân viên không được chia sẻ mật khẩu với bất kỳ ai, kể cả với nhân viên IT. Khi phát hiện mật khẩu bị lộ, phải thay đổi ngay lập tức và báo cáo cho bộ phận An toàn thông tin.\n\n## Sử Dụng Thiết Bị\n\nThiết bị công ty chỉ được sử dụng cho mục đích công việc. Không được cài đặt phần mềm không được phê duyệt trên thiết bị công ty. Tất cả thiết bị phải có mã khóa màn hình và tự động khóa sau 5 phút không hoạt động.\n\nKhi rời khỏi văn phòng, nhân viên phải khóa máy tính. Thiết bị công ty không được mang ra khỏi văn phòng khi chưa có sự cho phép của quản lý.\n\n## VPN và Truy Cập Từ Xa']",reasoning
"What commitment must employees make after receiving training support from the company, and how does this relate to the detection of personally identifiable information in Vietnamese documents?","Employees must commit to working at least 1 year after receiving training support over 10 million VND, which aligns with the importance of protecting personally identifiable information (PII) like CCCD and phone numbers in Vietnam, as maintaining a stable workforce can help ensure the integrity of such sensitive data.","['à Phát Triển\n\nCông ty hỗ trợ chi phí đào tạo chuyên môn tối đa 5 triệu đồng/năm/nhân viên. Nhân viên phải cam kết làm việc ít nhất 1 năm sau khi được hỗ trợ đào tạo có giá trị trên 10 triệu đồng.\n\nChương trình mentoring nội bộ được tổ chức định kỳ hàng quý để hỗ trợ nhân viên phát triển kỹ năng. Tất cả nhân viên có quyền đề xuất tham gia các khóa học bên ngoài phù hợp với công việc.\n\n## Phúc Lợi\n\nNhân viên được hưởng bảo hiểm y tế theo quy định pháp luật cộng với bảo hiểm sức khỏe bổ sung của công ty. Phụ cấp ăn trưa 50.000 đồng/ngày làm việc được tính vào lương hàng tháng.\n\nCông ty tổ chức du lịch team building 1 lần/năm. Nhân viên có thâm niên trên 3 năm được nhận thêm 1 ngày nghỉ phép năm và phụ cấp thâm niên 500.000 đồng/tháng.', 'PII (Personally Identifiable Information) detection uses two techniques: regex patterns for structured formats (phone numbers, ID cards, emails, tax codes) and NER models for unstructured text (names, addresses). For Vietnamese documents, specific patterns are needed: CCCD (12 digits), phone (+84 or 0 prefix, 9-10 digits), tax codes (10 digits with optional suffix). Microsoft Presidio provides multilingual NER. Target: recall ≥ 80%, latency P95 < 50ms.']",multi_context
"How does the use of regex patterns for structured formats differ from NER models for unstructured text in the context of PII detection, and what implications does this have for processing Vietnamese documents?","Regex patterns are specifically designed to identify structured formats such as phone numbers and tax codes with exact patterns, while NER models are employed to extract information from unstructured text, like names and addresses. For Vietnamese documents, this means that regex patterns must adhere to specific formats (e.g., CCCD, phone numbers) to ensure accurate detection, which may require more tailored approaches compared to the more general application of NER models. Consequently, this could affect the overall effectiveness and efficiency of PII detection in Vietnamese documents, particularly in achieving the target recall and latency metrics.","['PII (Personally Identifiable Information) detection uses two techniques: regex patterns for structured formats (phone numbers, ID cards, emails, tax codes) and NER models for unstructured text (names, addresses). For Vietnamese documents, specific patterns are needed: CCCD (12 digits), phone (+84 or 0 prefix, 9-10 digits), tax codes (10 digits with optional suffix). Microsoft Presidio provides multilingual NER. Target: recall ≥ 80%, latency P95 < 50ms.']",reasoning
How might the use of explicit rubrics to address length bias impact the overall evaluation process in LLM-as-Judge compared to simply swapping answers to mitigate position bias?,"Using explicit rubrics for length bias can lead to a more objective evaluation based on consistent criteria, thereby reducing the influence of answer length on scoring. In contrast, swapping answers to mitigate position bias may only temporarily alleviate the issue without addressing the underlying biases in scoring. Therefore, explicit rubrics could enhance fairness and accuracy in the evaluation process, while swap-and-average may not fully resolve the biases present.","[""LLM-as-Judge uses a language model to evaluate other models' outputs. Pairwise comparison presents two answers and asks which is better. Absolute scoring rates one answer on multiple dimensions (1-5 scale). Known biases: position bias (prefers first answer), length bias (prefers longer answers), self-preference bias (model favors its own outputs). Mitigation: swap-and-average for position bias, explicit rubrics for length.""]",reasoning
"How does the performance of FAISS in terms of latency for top-5 retrieval over 100k vectors compare to what might be expected for similar systems handling larger datasets, such as billion-scale indices?","FAISS maintains a low latency of 1-5ms for top-5 retrieval even when working with large datasets, suggesting that it is optimized for efficient searching, particularly in comparison to other systems that may not be as efficient with larger indices.","['FAISS (Facebook AI Similarity Search) enables fast approximate nearest neighbor search over dense vector embeddings. IndexFlatIP performs exact inner product search (equivalent to cosine similarity after L2 normalization). FAISS supports billion-scale indices. For RAG, embeddings are pre-computed for all chunks, stored in FAISS index, then query embedding is compared at inference time. Typical latency: 1-5ms for top-5 retrieval over 100k vectors.']",reasoning
What are the conditions regarding sick leave and the training support provided by the company for employees?,"Employees are allowed to take unlimited sick leave with pay according to labor laws, but must submit a medical certificate after three working days. Additionally, the company provides training support of up to 5 million VND per year, with a commitment to work for at least one year if the training costs exceed 10 million VND.","['rong thời gian nghỉ không lương tối đa 30 ngày/năm.\n\n## Nghỉ Ốm\n\nNhân viên được nghỉ ốm có hưởng lương theo quy định của Bộ luật Lao động. Cần nộp giấy xác nhận y tế từ cơ sở y tế có thẩm quyền trong vòng 3 ngày làm việc kể từ ngày đi làm trở lại.\n\nSố ngày nghỉ ốm hưởng lương không giới hạn, nhưng từ ngày thứ 4 trở đi cần có giấy phép của bác sĩ. Nhân viên nghỉ ốm quá 14 ngày liên tiếp phải thông báo cho phòng Nhân sự.\n\n## Nghỉ Thai Sản\n\nLao động nữ được nghỉ thai sản trước và sau khi sinh là 06 tháng. Trong trường hợp sinh đôi trở lên, cứ mỗi con tăng thêm 01 tháng. Lao động nam được nghỉ thai sản 05 ngày làm việc khi vợ sinh thường, 07 ngày nếu vợ sinh mổ.', 'à Phát Triển\n\nCông ty hỗ trợ chi phí đào tạo chuyên môn tối đa 5 triệu đồng/năm/nhân viên. Nhân viên phải cam kết làm việc ít nhất 1 năm sau khi được hỗ trợ đào tạo có giá trị trên 10 triệu đồng.\n\nChương trình mentoring nội bộ được tổ chức định kỳ hàng quý để hỗ trợ nhân viên phát triển kỹ năng. Tất cả nhân viên có quyền đề xuất tham gia các khóa học bên ngoài phù hợp với công việc.\n\n## Phúc Lợi\n\nNhân viên được hưởng bảo hiểm y tế theo quy định pháp luật cộng với bảo hiểm sức khỏe bổ sung của công ty. Phụ cấp ăn trưa 50.000 đồng/ngày làm việc được tính vào lương hàng tháng.\n\nCông ty tổ chức du lịch team building 1 lần/năm. Nhân viên có thâm niên trên 3 năm được nhận thêm 1 ngày nghỉ phép năm và phụ cấp thâm niên 500.000 đồng/tháng.']",multi_context
"If an employee in an office job starts on January 1st and successfully completes their probation period, when can they expect to sign their official employment contract and receive their first full salary payment?","The employee can expect to sign their official employment contract after 60 days, which would be around March 2nd. Their first full salary payment would be on April 10th, as salaries are paid on the 10th of the month for the previous month.","['# Chính Sách Nhân Sự Chung\n\n## Thử Việc\n\nThời gian thử việc là 60 ngày đối với công việc văn phòng và 30 ngày đối với lao động phổ thông. Trong thời gian thử việc, nhân viên hưởng 85% lương chính thức. Sau thời gian thử việc, nhân viên được ký hợp đồng lao động chính thức.\n\nTrong thời gian thử việc, cả nhân viên và công ty đều có thể chấm dứt hợp đồng mà không cần báo trước. Nếu nhân viên đạt yêu cầu sau thử việc, hợp đồng lao động chính thức sẽ được ký kết ngay.\n\n## Lương và Thưởng\n\nLương được trả vào ngày 10 hàng tháng cho tháng trước. Thưởng cuối năm tương đương 1-3 tháng lương tùy hiệu suất làm việc và tình hình kinh doanh của công ty.\n\nĐánh giá hiệu suất được thực hiện 2 lần/năm vào tháng 6 và tháng 12. Kết quả đánh giá sẽ ảnh hưởng đến mức thưởng và tăng lương hàng năm.\n\n## Đào Tạo v']",reasoning
How many days of annual leave is a regular employee entitled to each year?,Nhân viên chính thức được nghỉ phép năm 12 ngày làm việc mỗi năm.,"['# Chính Sách Nghỉ Phép\n\n## Nghỉ Phép Năm\n\nNhân viên chính thức được nghỉ phép năm 12 ngày làm việc mỗi năm. Số ngày nghỉ phép tăng thêm 1 ngày cho mỗi 5 năm thâm niên công tác. Nhân viên mới vào làm giữa năm sẽ được tính nghỉ phép theo tỷ lệ thời gian làm việc thực tế trong năm đó.\n\nĐơn xin nghỉ phép phải được nộp trước ít nhất 3 ngày làm việc và cần được phê duyệt bởi quản lý trực tiếp. Trường hợp khẩn cấp có thể nộp đơn muộn hơn nhưng phải có lý do chính đáng.\n\n## Nghỉ Phép Không Lương\n\nNhân viên có thể xin nghỉ phép không lương tối đa 30 ngày mỗi năm. Đơn xin nghỉ phải được Giám đốc bộ phận phê duyệt và thông báo cho phòng Nhân sự ít nhất 2 tuần trước ngày nghỉ.\n\nTrong thời gian nghỉ không lương, nhân viên không được hưởng lương và phụ cấp. Thâm niên công tác vẫn được tính bình thường t']",simple
